"","X","StdPeak","ratio","StdSize","pg","RCS","a_mean","a_stddev","linearity","b_mean","b_stddev","k","a1_count","a2_count","a_s_count","b1_count","b2_count","b_s_count","a_CV","b_CV","Species"
"32","2025-06-26_Oal_250m_18+fly.fcs","A",4.58386024120202,1.18,5.40895508461838,2.07890311728221,10.7768508398305,0.416808853819123,1.84247615435859,49.3995780900635,2.54300158756108,NA,261.755848467199,168.122551066947,0,960.945600407665,7.01630224163374,147.493745032124,0.0386763127757719,0.0514782045896176,NA
"33","2025-06-26_Ocm_250m_13.fcs","A",4.21259415218494,1.18,4.97086109957823,4.25267363162429,11.4734455890903,0.397093692255559,1.86617687118888,48.3329697940138,2.73711426780309,NA,8.67263346365783e-06,110.831598712812,0,4616.21438742455,60.2681916391442,323.491296533451,0.0346098030597837,0.0566303763138945,NA
"34","2025-06-26_Ocm_250m_14.fcs","A",4.37367758627178,1.18,5.1609395518007,1.92539634527423,11.1526493021814,0.424095195514508,1.80071390216416,48.7780922805004,2.60410264573887,NA,740.411207533601,362.433363590072,0,1157.28558242473,0,74.1095584871218,0.0380264082572342,0.0533867259663185,NA
"35","2025-06-26_Ocm_250m_15.fcs","A",4.25264065068135,1.18,5.018115967804,5.95051008571594,11.4446905235264,0.435138249936724,1.88296617374563,48.6701561548162,2.6203664779626,NA,1032.34430787454,404.015670050539,0,4584.12398217088,68.1218966457391,409.372111754313,0.0380209713003795,0.0538392864330948,NA
"36","2025-06-26_Ocm_250m_16.fcs","A",4.3297293553885,1.18,5.10908063935844,13.7412466788336,11.3379120475866,0.439816287348912,2.5,49.0900906212489,3.08737221669615,NA,2676.87853583978,0,458.479203099124,1464.81206867228,0,0,0.0387916474835003,0.0628919640934573,NA
"37","2025-06-26_Ocm_250m_17.fcs","A",4.28576459281338,1.18,5.05720221951979,3.97515504373162,11.2600206554054,0.368737452167045,1.89363549652177,48.2577978392839,2.77179024118331,NA,1.07646681773745e-07,166.122133244582,0,2262.11178713789,21.5635052325426,166.195514433656,0.0327474934062427,0.057437147265078,NA
"38","2025-06-26_Ocm_250m_18.fcs","A",4.12793511550348,1.18,4.87096343629411,9.10783304973808,11.5521203954311,0.35945929723581,2.15752434795759,47.6864034388238,4.19426291660044,NA,5.72030019892994e-07,0,76.0997479969699,2917.77087136071,0,0,0.0311163046204035,0.0879551111876407,NA
"39","2025-06-26_Ocm_250m_19_1.fcs","A",4.17888838505445,1.18,4.93108829436426,4.56012766709829,12.0696131540362,0.268326237033945,1.89755841918938,50.4375662215022,2.40951926922498,NA,4.48657810061311e-09,257.845481758855,0,2450.62670174121,0,127.075258275455,0.0222315523794741,0.0477723143627372,NA
"40","2025-06-26_Ocm_250m_19.fcs","A",4.15486150743663,1.18,4.90273657877523,9.94637419045968,12.0990575265305,0.158361537254037,2.0836010132727,50.2699083932432,2.58475787280965,1e-10,1.21083577022e-29,0,109.010031635021,2682.31255372379,0,72.8613158232872,0.0130887498391329,0.0514175966383315,NA
"41","2025-06-26_Ocm_250m_20_1.fcs","A",4.43445724280174,1.18,5.23265954650605,3.6192316133143,11.2073704182646,0.376250181244366,1.94675927344429,49.6986049240352,2.17053804318876,NA,7.40371697496225e-07,73.4261303644849,0,2875.23694356581,0,288.196032329178,0.0335716735686004,0.0436740235768478,NA
